originals	en	es	sourceLanguage
Accelerometer	Accelerometer	Acelerómetro	en
Actividad física	Physical activity	Actividad física	es
Adiposidad	Adiposity	Adiposidad	es
Adiposity	Adiposity	Adiposidad	en
Adolescents	Adolescents	Adolescentes	en
Aged	Aged	Personas mayores	en
Ageing|Aging	Ageing	Envejecimiento	en
Alimentación	Eating	Alimentación	es
Alpha-Ketoglutarate-Dependent Dioxygenase FTO	Alpha-ketoglutarate-dependent dioxygenase FTO	Dioxigenasa FTO dependiente de alfa-cetoglutarato	en
Alzheimer’s disease	Alzheimer’s disease	Enfermedad de Alzheimer	en
Anthropometry	Anthropometry	Antropometría	en
Asthma	Asthma	Asma	en
Biomarkers	Biomarkers	Biomarcadores	en
body composition	Body composition	Composición corporal	en
Body Mass Index	Body mass index	Índice de masa corporal	en
Brain	Brain	Cerebro	en
cachexia	Cachexia	Caquexia	en
Cardiorespiratory Fitness	Cardiorespiratory fitness	Capacidad cardiorrespiratoria	en
cardiovascular disease	Cardiovascular disease	Enfermedad cardiovascular	en
cardiovascular diseases	Cardiovascular diseases	Enfermedades cardiovasculares	en
Central obesity	Central obesity	Obesidad central	en
child	Child	Niño	en
Chile	Chile	Chile	en
Chronic disease	Chronic disease	Enfermedad crónica	en
Cognitive Dysfunction	Cognitive dysfunction	Disfunción cognitiva	en
Cohort Studies	Cohort studies	Estudios de cohortes	en
Colesterol total	Total cholesterol	Colesterol total	es
Consulta nutricional estructurada	Structured nutritional consultation	Consulta nutricional estructurada	es
Cáncer de mama	Breast cancer	Cáncer de mama	es
Dementia	Dementia	Demencia	en
Dental Caries	Dental caries	Caries dental	en
Dental Public Health	Dental public health	Salud pública odontológica	en
Depression	Depression	Depresión	en
Deterioro cognitivo	Cognitive impairment	Deterioro cognitivo	es
Diabetes	Diabetes	Diabetes	en
Diabetes Mellitus	Diabetes mellitus	Diabetes mellitus	en
Diabetes mellitus tipo 2	Type 2 diabetes	Diabetes tipo 2	es
Diabetes Mellitus, Type 2|type 2 diabetes	Type 2 diabetes	Diabetes tipo 2	en
Diet	Diet	Dieta	en
Dieta	Diet	Dieta	es
Dietary pattern	Dietary pattern	Patrón alimentario	en
East Asia-Pacific region	East Asia-Pacific region	Región de Asia Oriental y el Pacífico	en
Ejercicio	Exercise	Ejercicio	es
Enfermedades cardiovasculares	Cardiovascular diseases	Enfermedades cardiovasculares	es
Envejecimiento	Ageing	Envejecimiento	es
European Working Group on Sarcopenia in Older People (EWGSOP)	European Working Group on Sarcopenia in Older People (EWGSOP)	Grupo Europeo de Trabajo sobre Sarcopenia en Personas Mayores (EWGSOP)	en
EWGSOP2	EWGSOP2	EWGSOP2	en
Exercise	Exercise	Ejercicio	en
Factores de Riesgo	Risk factors	Factores de riesgo	es
folic acid supplementation	Folic acid supplementation	Suplementación con ácido fólico	en
Frail Elderly	Frail elderly	Personas mayores frágiles	en
frailty	Frailty	Fragilidad	en
FTO	FTO	FTO	en
Genetics	Genetics	Genética	en
Genotype	Genotype	Genotipo	en
Grip strength	Grip strength	Fuerza de prensión	en
Hand Strength	Hand strength	Fuerza de prensión	en
handgrip strength	Handgrip strength	Fuerza de prensión	en
growth and development	Growth and development	Crecimiento y desarrollo	en
hand hygiene	Hand hygiene	Higiene de manos	en
Health	Health	Salud	en
healthy weight-obese	Healthy weight-obese	Peso saludable-obesidad	en
hypertension	Hypertension	Hipertensión	en
Hábitos alimentarios	Eating habits	Hábitos alimentarios	es
incidence	Incidence	Incidencia	en
inflammation	Inflammation	Inflamación	en
Latin America	Latin America	América Latina	en
leisure physical activity	Leisure physical activity	Actividad física en el tiempo libre	en
Lifestyle|Lyfe Style	Lifestyle	Estilo de vida	en
Life’s Essential 8	Life’s Essential 8	Life’s Essential 8	en
Life’s Simple 7	Life’s Simple 7	Life’s Simple 7	en
malnutrition	Malnutrition	Malnutrición	en
Meat	Meat	Carne	en
Meta-analysis	Meta-analysis	Metaanálisis	en
Metabolic	Metabolic	Metabólico	en
Metabolic syndrome	Metabolic syndrome	Síndrome metabólico	en
Morbidity	Morbidity	Morbilidad	en
mortality	Mortality	Mortalidad	en
Multimorbidity	Multimorbidity	Multimorbilidad	en
Muscle skeletal|Muscle, Skeletal	Skeletal muscle	Músculo esquelético	en
muscle strength	Muscle strength	Fuerza muscular	en
muscle weakness	Muscle weakness	Debilidad muscular	en
NAFLD	NAFLD	NAFLD	en
NASH	NASH	NASH	en
non-alcoholic fatty liver disease	Non-alcoholic fatty liver disease	Enfermedad por hígado graso no alcohólico	en
Obesidad	Obesity	Obesidad	es
Obesidad metabólicamente saludable	Metabolically healthy obesity	Obesidad metabólicamente saludable	es
obesity	Obesity	Obesidad	en
obesity therapy	Obesity therapy	Tratamiento de la obesidad	en
Occupational physical activity	Occupational physical activity	Actividad física ocupacional	en
older people	Older people	Personas mayores	en
oral hygiene	Oral hygiene	Higiene oral	en
Osteoporosis	Osteoporosis	Osteoporosis	en
Perfil metabólico	Metabolic profile	Perfil metabólico	es
Peso corporal	Body weight	Peso corporal	es
Physical activity	Physical activity	Actividad física	en
Physical capability	Physical capability	Capacidad funcional física	en
physical fitness	Physical fitness	Condición física	en
pregnancy	Pregnancy	Embarazo	en
Prevalence	Prevalence	Prevalencia	en
prospective studies	Prospective studies	Estudios prospectivos	en
prospective study	Prospective study	Estudio prospectivo	en
Pruebas de estado mental y demencia	Mental status and dementia tests	Pruebas de estado mental y demencia	es
Public Health	Public health	Salud pública	en
Pérdida auditiva	Hearing loss	Pérdida auditiva	es
Respiratory disease	Respiratory disease	Enfermedad respiratoria	en
